RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp1_pres_imptv2b,w_pp1,e,2nd,sg,pres,imptv,act
verbinfl.w_pp1_pres_imptv3b,w_pp1,e/tw,3rd,sg,pres,imptv,act
verbinfl.w_pp1_pres_imptv4b,w_pp1,eton,2nd,dual,pres,imptv,act
verbinfl.w_pp1_pres_imptv5b,w_pp1,e/twn,3rd,dual,pres,imptv,act
verbinfl.w_pp1_pres_imptv7b,w_pp1,ete,2nd,pl,pres,imptv,act
verbinfl.w_pp1_pres_imptv8b,w_pp1,o/ntwn,3rd,pl,pres,imptv,act
verbinfl.w_pp1_pres_imptv10b,w_pp1,ou,2nd,sg,pres,imptv,mid
verbinfl.w_pp1_pres_imptv11b,w_pp1,e/sqw,3rd,sg,pres,imptv,mid
verbinfl.w_pp1_pres_imptv12b,w_pp1,esqon,2nd,dual,pres,imptv,mid
verbinfl.w_pp1_pres_imptv13b,w_pp1,e/sqwn,3rd,dual,pres,imptv,mid
verbinfl.w_pp1_pres_imptv13b,w_pp1,esqe,2nd,pl,pres,imptv,mid
verbinfl.w_pp1_pres_imptv14b,w_pp1,e/sqwn,3rd,pl,pres,imptv,mid
verbinfl.w_pp1_pres_imptv15b,w_pp1,ou,2nd,sg,pres,imptv,pass
verbinfl.w_pp1_pres_imptv16b,w_pp1,e/sqw,3rd,sg,pres,imptv,pass
verbinfl.w_pp1_pres_imptv17b,w_pp1,esqon,2nd,dual,pres,imptv,pass
verbinfl.w_pp1_pres_imptv18b,w_pp1,e/sqwn,3rd,dual,pres,imptv,pass
verbinfl.w_pp1_pres_imptv19b,w_pp1,esqe,2nd,pl,pres,imptv,pass
verbinfl.w_pp1_pres_imptv21b,w_pp1,e/sqwn,3rd,pl,pres,imptv,pass
